NUM,MNEMONICO,S,X,H,I,N,Z,V,C
43,cba,-- ,-- ,-- ,-- ,X,X,X,X
44,clc,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0
45,cli,-- ,-- ,-- ,0,-- ,-- ,-- ,-- 
46,clr,-- ,-- ,-- ,-- ,0,1,0,0
47,clra,-- ,-- ,-- ,-- ,0,1,0,0
48,clrb,-- ,-- ,-- ,-- ,0,1,0,0
49,clv,-- ,-- ,-- ,-- ,-- ,-- ,0,-- 
50,cmpa,-- ,-- ,-- ,-- ,X,X,X,X
51,cmpb,-- ,-- ,-- ,-- ,X,X,X,X
52,com,-- ,-- ,-- ,-- ,X,X,0,1
53,coma,-- ,-- ,-- ,-- ,X,X,0,1
54,comb,-- ,-- ,-- ,-- ,X,X,0,1
55,cpd,-- ,-- ,-- ,-- ,X,X,X,X
56,cpx,-- ,-- ,-- ,-- ,X,X,X,X
57,cpy,-- ,-- ,-- ,-- ,X,X,X,X
58,daa,-- ,-- ,-- ,-- ,X,X,X,X
59,dec,-- ,-- ,-- ,-- ,X,X,X,-- 
60,deca,-- ,-- ,-- ,-- ,X,X,X,-- 
61,decb,-- ,-- ,-- ,-- ,X,X,X,-- 
62,des,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
63,dex,-- ,-- ,-- ,-- ,-- ,X,-- ,-- 
64,dey,-- ,-- ,-- ,-- ,-- ,X,-- ,-- 
65,eora,-- ,-- ,-- ,-- ,X,X,0,-- 
66,eorb,-- ,-- ,-- ,-- ,X,X,0,-- 
67,fdiv,-- ,-- ,-- ,-- ,-- ,X,X,X
68,idiv,-- ,-- ,-- ,-- ,-- ,X,0,X
69,inc,-- ,-- ,-- ,-- ,X,X,X,-- 
70,inca,-- ,-- ,-- ,-- ,X,X,X,-- 
71,incb,-- ,-- ,-- ,-- ,X,X,X,-- 
72,ins,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
73,inx,-- ,-- ,-- ,-- ,-- ,X,-- ,-- 
74,iny,-- ,-- ,-- ,-- ,-- ,X,-- ,-- 
75,jmp,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
76,jsr,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
77,ldaa,-- ,-- ,-- ,-- ,X,X,0,-- 
78,ldab,-- ,-- ,-- ,-- ,X,X,0,-- 
79,ldd,-- ,-- ,-- ,-- ,X,X,0,-- 
80,lds,-- ,-- ,-- ,-- ,X,X,0,-- 
81,ldx,-- ,-- ,-- ,-- ,X,X,0,-- 
82,ldy,-- ,-- ,-- ,-- ,X,X,0,-- 
83,lsl,-- ,-- ,-- ,-- ,X,X,X,X
84,lsla,-- ,-- ,-- ,-- ,X,X,X,X
85,lslb,-- ,-- ,-- ,-- ,X,X,X,X
86,lsld,-- ,-- ,-- ,-- ,X,X,X,X
87,lsr,-- ,-- ,-- ,-- ,0,X,X,X
88,lsra,-- ,-- ,-- ,-- ,0,X,X,X
89,lsrb,-- ,-- ,-- ,-- ,0,X,X,X
90,lsrd,-- ,-- ,-- ,-- ,0,X,X,X
91,mul,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X
92,neg,-- ,-- ,-- ,-- ,X,X,X,X
93,nega,-- ,-- ,-- ,-- ,X,X,X,X
94,negb,-- ,-- ,-- ,-- ,X,X,X,X
95,nop,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
96,oraa,-- ,-- ,-- ,-- ,X,X,0,-- 
97,orab,-- ,-- ,-- ,-- ,X,X,0,-- 
98,psha,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
99,pshb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
100,pshx,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
101,pshy,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
102,pula,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
103,pulb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
104,pulx,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
105,puly,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
106,rol,-- ,-- ,-- ,-- ,X,X,X,X
107,rola,-- ,-- ,-- ,-- ,X,X,X,X
108,rolb,-- ,-- ,-- ,-- ,X,X,X,X
109,ror,-- ,-- ,-- ,-- ,X,X,X,X
110,rora,-- ,-- ,-- ,-- ,X,X,X,X
111,rorb,-- ,-- ,-- ,-- ,X,X,X,X
112,rti,X,X,X,X,X,X,X,X
113,rts,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
114,sba,-- ,-- ,-- ,-- ,X,X,X,X
115,sbca,-- ,-- ,-- ,-- ,X,X,X,X
116,sbcb,-- ,-- ,-- ,-- ,X,X,X,X
117,sec,-- ,-- ,-- ,-- ,-- ,-- ,-- ,1
118,sei,-- ,-- ,-- ,1,-- ,-- ,-- ,-- 
119,sev,-- ,-- ,-- ,-- ,-- ,-- ,1,-- 
120,staa,-- ,-- ,-- ,-- ,X,X,0,-- 
121,stab,-- ,-- ,-- ,-- ,X,X,0,-- 
122,std,-- ,-- ,-- ,-- ,X,X,0,-- 
123,stop,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
124,sts,-- ,-- ,-- ,-- ,X,X,0,-- 
125,stx,-- ,-- ,-- ,-- ,X,X,0,-- 
126,sty,-- ,-- ,-- ,-- ,X,X,0,-- 
127,suba,-- ,-- ,-- ,-- ,X,X,X,X
128,subb,-- ,-- ,-- ,-- ,X,X,X,X
129,subd,-- ,-- ,-- ,-- ,X,X,X,X
130,swi,-- ,-- ,-- ,1,-- ,-- ,-- ,-- 
131,tab,-- ,-- ,-- ,-- ,X,X,0,-- 
132,tap,X,X,X,X,X,X,X,X
133,tba,-- ,-- ,-- ,-- ,X,X,0,-- 
134,tets,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
135,tpa,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
136,tst,-- ,-- ,-- ,-- ,X,X,0,0
137,tsta,-- ,-- ,-- ,-- ,X,X,0,0
138,tstb,-- ,-- ,-- ,-- ,X,X,0,0
139,tsx,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
140,tsy,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
141,txs,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
142,tys,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
143,wai,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
144,xgdx,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
145,xgdy,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
